"Date_Time","Location","Hyp_Hrs","Nor_Hrs","Temp_Hrs","DO_mean","DO_max","DO_min","DO_sd","TEMP_mean","TEMP_max","TEMP_min","TEMP_sd","Study_Day","Mean_K","Mean_Length","Mean_Weight","SD_K","Catch","Shan_Div","Mean_Depth","Max_Depth","Min_Depth"
2021-06-12,"Eel Bay",8,16,7,8.00166666666667,16.31,0.59,5.41749111019834,24.51,33.16,17.94,5.02257202907375,1,-58.7263557918797,1.26010369932541,-1.1319725806432,17.2543970798259,854,0.819040570135282,49.8095238095238,57,45
2021-06-13,"Eel Bay",8.5,15.5,7.5,7.64104166666667,16.37,0.31,5.46665958122054,25.5841666666667,32.66,18.62,4.05135114490102,2,-60.3656600555657,1.29181583573007,-1.27099414609078,14.9848170879938,53,2.3082907188498,42.8947368421053,50,35
2021-06-14,"Eel Bay",7.5,16.5,1.5,8.133125,15.71,1.17,4.74658092231952,24.3475,29.4,20.44,2.45938108457167,3,-79.3385561661443,1.2096664255994,-1.24989273527854,43.8513094138264,1272,1.06560436923669,38.375,45,34
2021-06-15,"Eel Bay",7.5,16.5,0,8.24354166666667,17.05,1.38,5.067220686687,22.55875,26.54,19.5,2.30438031084743,4,-32.7648133544506,1.37618121612392,-0.807009519782646,13.5009811981261,1538,1.06557576250751,45.6190476190476,54,36
2021-06-16,"Eel Bay",3,21,2,10.0258333333333,18.01,2.92,4.96390796344005,21.8525,31.06,15.1,4.65408285637918,5,-47.7485519115222,1.33014312078599,-1.04820988121183,23.1140756347994,2041,1.10266048573802,44.32,49,34
2021-06-18,"Eel Bay",3,21,0,8.83958333333333,14.46,2.57,3.80389887236841,19.6120833333333,21.82,16.28,1.3708499589412,7,-30.9143821799597,1.40110213713872,-0.792358294501597,14.7194989925587,210,2.49219318656118,41.8571428571429,47,36
2021-06-19,"Eel Bay",1,23,5,9.88333333333333,16.89,3.63,4.09916459228096,23.40875,31,18.4,4.25603132737231,8,-47.227721719296,1.33300744372292,-1.09127847344937,12.5461112546786,499,2.12855948574128,49.5925925925926,54,45
2021-06-20,"Eel Bay",6,18,7,8.04104166666667,15.55,1.54,4.69146451733101,25.19375,32.7,19.78,3.92547415485385,9,-48.4054747308469,1.33631872637431,-1.02846280123139,28.5910328188116,104,2.44723784729076,47,54,41
2021-06-21,"Eel Bay",8.5,15.5,3.5,7.40416666666667,14.94,0.19,4.99886831164446,25.0054166666667,29.16,20.78,2.49472887567378,10,-54.6924149753271,1.28805305618102,-1.06177642704579,26.8428243849437,325,2.23182379428954,47.88,55,45
2021-06-23,"Eel Bay",0,24,0,11.479375,18.44,6.21,3.74863175393313,19.91625,27.26,14.84,3.7186606059343,12,-44.383556035632,1.32729394684663,-0.905057314766673,28.0089499570249,767,1.59517229390277,47.25,57,41
2021-06-24,"Eel Bay",0,24,0.5,10.7970833333333,17.47,5.09,3.90745711419726,21.6083333333333,28.16,15.74,4.02839249568494,13,-33.8968721617026,1.36704866436809,-0.826323988125638,13.0269604971292,993,1.68112080229191,52.2857142857143,55,46
2021-06-25,"Eel Bay",3.5,20.5,0,8.71583333333333,14.48,2.75,3.91870030197993,22.2091666666667,26.92,17.92,2.70281794109315,14,-38.2299830041572,1.35472171964905,-0.851924340682773,21.1652777385668,1681,1.83185975687834,45.25,56,24
2021-06-26,"Eel Bay",5,19,0,7.836875,12.4,2.01,3.29961129641763,21.9575,23.66,19.78,1.17767621891407,15,-35.1612525465915,1.37071185857335,-0.847584584525374,15.8739589831816,573,2.2584212061291,53.8636363636364,59,51
2021-06-27,"Eel Bay",1.5,22.5,6,9.580625,17.8,3.13,4.22316630546525,24.96125,30.14,20.86,3.27177590204334,16,-41.9765408096278,1.33969449159792,-0.940706228378654,19.0775110945076,214,2.49143308209916,48.2857142857143,53,46
2021-06-28,"Eel Bay",7.5,16.5,10.5,7.47354166666667,15.6,0.07,4.9243906587444,27.47625,32.96,23.42,2.93295481318247,17,-29.4629157858221,1.38378447491397,-0.743080855053369,10.8476767805475,250,2.39125931316215,38.4736842105263,51,34
2021-06-29,"Eel Bay",7.5,16.5,12,6.5925,14.05,0,4.59913289699866,28.1629166666667,32.74,23.96,2.81198949661588,18,-20.3000421238145,1.45163136582834,-0.46689007634393,25.6750009423164,125,2.05093203358304,41.4,55,30
2021-06-30,"Eel Bay",10.5,13.5,10,7.14979166666667,15.64,0,5.38135531832425,27.315,30.28,24.44,1.90978889331289,19,-20.9170182938855,1.45037882602844,-0.587286135368749,11.0143308489874,566,1.87711098257007,41.1904761904762,52,31
2021-07-01,"Eel Bay",8.5,15.5,0,6.78916666666667,14.34,0.01,4.63365800689074,25.00125,27.32,22.68,1.43691398786101,20,-41.7680352074381,1.34946520802905,-0.837751438775725,38.0959578993561,600,2.12105088434434,46.4230769230769,56,33
2021-07-03,"Eel Bay",3,21,0,8.84791666666667,14.81,2.3,3.99302900988195,20.4825,25.44,16.68,3.15967847812185,22,-15.117826047446,1.48684487883758,-0.437956349542997,11.4751026725358,248,2.55185293923187,48.25,53,41
2021-07-05,"Eel Bay",5.5,18.5,3,8.000625,14.75,1.88,3.96222611309307,23.735,28.58,18.72,3.39292254616213,24,-15.7061670836474,1.47963036562538,-0.453060446764939,10.6656276891539,121,2.67046537583668,53.2083333333333,64,40
2021-07-07,"Eel Bay",10.5,13.5,0,6.96083333333333,15.76,0,5.69016764264626,22.0666666666667,27.64,19.32,2.16978215725199,26,-18.6323700915461,1.45776088231733,-0.521061862012647,10.8448724528233,193,2.81983499058077,51.6875,67,33
2021-07-08,"Eel Bay",3.5,20.5,0,7.41854166666667,12.87,1.39,3.08237335304934,18.775,20.9,16.36,1.39350774299508,27,-6.4628990749267,1.55872812569656,-0.18833205251712,11.6863036491778,58,2.83593937540411,43.0434782608696,56,38
2021-07-09,"Eel Bay",8.5,15.5,0,7.618125,14.6,0.38,4.76922566365349,20.5479166666667,23.94,18.14,1.91608528030942,28,-12.9920582614618,1.53772408510255,-0.23797425176847,24.3331256838271,66,2.40266374749115,57.15,62,51
2021-07-10,"Eel Bay",3,21,5,9.07,17.02,3.06,4.11343103669151,23.6045833333333,29.26,18.82,3.66719149209805,29,-30.1788413984778,1.39363004623784,-0.668612075679108,32.3680774899006,27,1.99259887551926,53.1818181818182,59,51
